project,year,lender,debt_amount_usd,country,investment_sector
Transnet Club Loan - Bank of China 2016,2016,BoC,219000000,South Africa,Transportation
"Maputo International Airport Renovation Phase I (CommL part, total 117mn)",2009,CHEXIM,67000000,Mozambique,Transportation
Abidjan Port Expansion,2014,CHEXIM,793000000,Cote d'Ivoire,Transportation
"Cairo-10th of Ramadan-New Administrative Capital Light Rail, 68km (Second Loan, total $1.2 billion)",2019,CHEXIM,461000000,Egypt,Transportation
"Road connecting Blaise-Diagne International Airport (AIBD) to Mbour and Thiès Roads, 55km",2015,CHEXIM,400000000,Senegal,Transportation
"Kampala-Entebbe Express Highway, 51km",2011,CHEXIM,350000000,Uganda,Transportation
Purchase of 400 Yaxing Buses Import,2003,CHEXIM,19000000,Ghana,Transportation
"Kinshasa, Lutendele Avenue Refurbishment, 2.8km",2008,CHEXIM,21000000,Democratic Republic of Congo,Transportation
"Nagad-Doraleh Port Railway Ramp (Addis-Djibouti railway continuation), 15km",2010,CN Gov,36000000,Djibouti,Transportation
"Port Gentil-Omboue Road and Booue Bridge, 93km, CommL Portion",2013,CHEXIM,493000000,Gabon,Transportation
Queen Elizabeth II Quay Update,2017,ICBC,659000000,Sierra Leone,Transportation
Rufaa Bridge/Sennar Bridge,2004,CN Gov,12000000,Sudan,Transportation
Conakry Municipal Road Construction & Matoto and Kagbelen Flyovers Rehabilitation,2018,ICBC,212000000,Guinea,Transportation
"New Lome International Airport (CL Portion, Total 150mn)",2012,CHEXIM,75000000,Togo,Transportation
Air Traffic Management System,2018,CHEXIM,249000000,South Sudan,Transportation
"Assaba and Brakna, Poverty Delta Highway, Aftout Chergui Road, 172km",2010,CHEXIM,88000000,Mauritania,Transportation
Ivato-Tsarasoatra Road Rehabilitation 11km,2018,CHEXIM,41000000,Madagascar,Transportation
Purchase of 50 Buses,2008,Kimberley (Chinese Private Company),18000000,Zimbabwe,Transportation
"Kivu Belt Lot 4&5; Mwityazo-Ruvumbu-Karongi Road Project, 66km",2012,CHEXIM,113000000,Rwanda,Transportation
"Bata-Niefang Road Rehabilitation, 63.345km",2003,CIDCA,6000000,Equatorial Guinea,Transportation
Sir Seewoosagur Ramgoolam International Airport (SSR) Upgrade - Passenger Terminal,2009,CHEXIM,260000000,Mauritius,Transportation
"Akassato-Bohicon Road Lot 2, 19.26km",2013,CIDCA,63000000,Benin,Transportation
DR3602 Omafo-Outapi Road Upgrade 98km,2012,CHEXIM,85000000,Namibia,Transportation
Zanzibar Airport Terminal 2,2010,CHEXIM,73000000,Tanzania,Transportation
Letlhakeng-Kang Road Section II 133 km (Dutlwe-Kang/Morwamosu),2006,CHEXIM,19000000,Botswana,Transportation
Lubango Electricity Network,2002,CHEXIM,15000000,Angola,Power
Medupi Coal Power Plant expansion (6X794=4800MW),2017,CDB,1000000000,South Africa,Power
Genale-Dawa III Hydropower Project 3x84.7(254MW),2009,CHEXIM,270000000,Ethiopia,Power
Khartoum State Electricity - equipment and spare parts,2002,CHEXIM,39000000,Sudan,Power
Chambishi East 330KV/66KV Substation,2009,"China Nonferrous Metal Mining (Group) Co., Ltd. (CNMC) Industrial Zone Development",11000000,Zambia,Power
Volta Lake Resettlement Township Electrification Project under the Upper West Electrification project (RMB seller's credit),2000,China International Water & Electric Corporation (CWE),20000000,Ghana,Power
"PEBC part- Karuma Hydropower Project 600MW; 400kV Karuma-Kawanda & 400kV Karuma-Olwiyo & 80km Karuma-Lira Transmission Lines, 132kV; 6 Substations 400kV",2015,CHEXIM,789000000,Uganda,Power
National Power Grid Upgrade Project Tranche 1,2015,CHEXIM,170000000,Cote d'Ivoire,Power
Kinkon Hydropower Project 3.4MW,2006,CN Gov,4000000,Guinea,Power
Transmission Transformers,2004,China National Aero-Technology Import and Export Corporation (CATIC),40000000,Zimbabwe,Power
Procurement of Power Lines Material Loan 1,2007,CHEXIM,5000000,Kenya,Power
Memve'ele Hydropower Project 211 MW,2011,CHEXIM,542000000,Cameroon,Power
"Ondo State, Omotosho Gas Power Plant Project 335 MW",2002,China Machinery Engineering Corporation (CMEC),115000000,Nigeria,Power
"Tanzania Petroleum Development Corporation (TPDC) Natural Gas Processing Plants and Pipeline, EBC part (Mnazi Bay to Dar es Salaam - Mtwara Province Gas Pipeline, 432km)",2012,CHEXIM,275000000,Tanzania,Power
"Malabo Power Grid, Phase 2",2009,CHEXIM,149000000,Equatorial Guinea,Power
Energy Transmission Network from Imboulou Hydropower: 780km of 220kV; 91km of 110kV; 350km of 20kV&30kV,2005,China Machinery Engineering Corporation (CMEC),552000000,Republic of Congo,Power
"500kV Transmission Line Project 1210km (CDB Part, Total $690mil)",2017,CDB,231000000,Egypt,Power
"Study, Supply and Installation Contract for 5,000 Solar Poles and Accessories",2016,CHEXIM,10000000,Democratic Republic of Congo,Power
Noor Ouarzazate Solar Power Plant Phase II 200MW,2018,ICBC,150000000,Morocco,Power
Libreville Power Grid Upgrade,2011,CHEXIM,135000000,Gabon,Power
"28km Dakar Loop Power Transmission Projects, 4x90kV (360kV), Phase II",2010,CHEXIM,78000000,Senegal,Power
Sonangol Development,2012,CDB,1000000000,Angola,Mining
Telecom Transformation and Expansion 7 Circles - Huawei,2013,"Huawei Technologies Co., Ltd.",800000000,Ethiopia,ICT
ZTE Nigerian Local Government Rural Telephony Project,2002,Zhongxing Telecommunication Equipment Corporation (ZTE),82000000,Nigeria,ICT
Optic Fiber Backbone Network (Construction of CTPhone),2009,CHEXIM,52000000,Cameroon,ICT
Optic Fibre Cable Phase II,2011,BoC,48000000,Zambia,ICT
"Bengo, Bié, K.Norte, K.Sul, LDA, Malange, and Moxico, New Generation Network, Project 1",2006,CHEXIM,67000000,Angola,ICT
University of Ghana Legon ICT-Enabled Distance Learning System Phase I,2008,CHEXIM,8000000,Ghana,ICT
National Telecom Phase I,2006,CHEXIM,85000000,Republic of Congo,ICT
National Optic Fibre Backbone Infrastructure (NOFBI) Phase I: E-government,2007,CHEXIM,43000000,Kenya,ICT
Maluana Data Center,2012,CHEXIM,135000000,Mozambique,ICT
NetOne Telecom Network Expansion Phase II,2014,CHEXIM,219000000,Zimbabwe,ICT
National Security Communication,2009,CHEXIM,33000000,Senegal,ICT
Expansion of Congo China Telecom GSM network,2006,CHEXIM,31000000,Democratic Republic of Congo,ICT
E-government,2006,CHEXIM,9000000,Guinea,ICT
National ICT Backbone Project (NICTBB) Phase II,2010,CHEXIM,106000000,Tanzania,ICT
National Broadband Network,2014,CHEXIM,65000000,Mali,ICT
Modernization of National Information and Communication Technologies (NTIC),2019,CHEXIM,189000000,Chad,ICT
SMART Burkina Project,2020,CHEXIM,80000000,Burkina Faso,ICT
Nation's telecommunications/broadband Infrastructure project for fiber optics and 4G - PDI2T,2015,CHEXIM,80000000,Benin,ICT
Telecom Network Expansion Phase 2,2006,CHEXIM,40000000,Togo,ICT
Network Modernization Project,2018,CHEXIM,82000000,Comoros,ICT
"Gabonese Administration Network (RAG), Phase II",2014,Zhongxing Telecommunication Equipment Corporation (ZTE),108000000,Gabon,ICT
New Mauritius Broadcasting Corporation (MBC) Headquarters-Tranche 2,2004,CIDCA,2000000,Mauritius,ICT
Security Communications System,2008,CIDCA,5000000,Uganda,ICT
Abidjan Video Surveillance Platform,2016,CHEXIM,52000000,Cote d'Ivoire,ICT
Digital Broadcasting Upgrade,2017,CHEXIM,33000000,Burundi,ICT
National Optic Fiber Backbone Project,2012,CHEXIM,15000000,Sierra Leone,ICT
Econet Telecom Lesotho National Network Project Phase II,2011,CHEXIM,30000000,Central African Republic,ICT
Telecom project,2004,CHEXIM,16000000,Tunisia,ICT
E-government Phase II,2017,CHEXIM,13000000,Cape Verde,ICT
National Mobile Telecom Expansion Phase II (GSM & CDMA Multipurpose Telecom ),2006,Huawei,18000000,Djibouti,ICT
Huambo's Water Supply System,2005,CHEXIM,20000000,Angola,Water
Douala Water Supply Project - Phase II,2009,CHEXIM,97000000,Cameroon,Water
Water equipments,2004,CN Gov,11000000,Sudan,Water
Nkana Water and Sanitation,2016,ICBC,170000000,Zambia,Water
Abidjan Bonoua Water Supply Phase II,2014,CHEXIM,89000000,Cote d'Ivoire,Water
Djibloho Regulation Reservoir,2013,CHEXIM,201000000,Equatorial Guinea,Water
Mekelle Water Supply Project - ZIL Part,2018,CIDCA,79000000,Ethiopia,Water
Plaines Wilhems Sewage Project Phase II,2003,CHEXIM,31000000,Mauritius,Water
Kilamba Kiaxi New Town,2010,ICBC,2000000000,Angola,Other social
National Institute of Sports,2012,CHEXIM,330000000,Equatorial Guinea,Other social
Mpila District in Brazzaville - Reconstruction of 200 Housing Units,2012,CHEXIM,48000000,Republic of Congo,Other social
Port Gentil Stadium,2015,ICBC,93000000,Gabon,Other social
Bingu National Stadium (formerly Joyce Banda National Stadium),2012,CHEXIM,70000000,Malawi,Other social
Lusaka National Stadium,2010,CHEXIM,86000000,Zambia,Other social
Bafoussam & Limbe Stadiums,2009,CHEXIM,41000000,Cameroon,Other social
"Ebimpe, Abidjan, d’Ebimpé d’Abobo Anyama Olympic Stadium",2015,CIDCA,40000000,Cote d'Ivoire,Other social
Gaborone BHC houses - 217 Houses,2001,CHEXIM,3000000,Botswana,Other social
Kalemie Stadium,2015,CHEXIM,16000000,Democratic Republic of Congo,Other social
Côted’Or National Sports Complex in Saint Pierre,2017,CIDCA,21000000,Mauritius,Other social
Renovation of Sports Center Kasarani,2010,CN Gov,12000000,Kenya,Other social
Les Mamelles Housing Project Phase I - 203 Units,2007,CHEXIM,14000000,Seychelles,Other social
Zaire's Integrated Infrastructure Phase I,2007,CHEXIM,102000000,Angola,Multisector
"Machinery Supply for the Mining, Agriculture, Transport & Infrastructure Industries, Phase II",2012,CHEXIM,62000000,Eritrea,Multisector
"Development in Mining, Water and Other Sectors",2013,CIDCA,16000000,Zimbabwe,Multisector
"Tatek, Mugher Cement Enterprise Plant Expansion",2007,CHEXIM,91000000,Ethiopia,Industry
N'Djarmaya Oil Refinery,2011,CHEXIM,330000000,Chad,Industry
"Agro-processing Projects - 3 Food Cold Storage Warehouses in 3 Cities, 1 Canning Factory, Drip-irrigation PVC Pipe Production Factory",2012,CHEXIM,101000000,Eritrea,Industry
"Sukala Sugar Refinery, 3rd Sugar Refinery/N-Sukala",2008,CHEXIM,73000000,Mali,Industry
Rehabilitation of Cotton Ginning Factories,2005,CHEXIM,7000000,Sudan,Industry
Military Residential Housing Unit (MOD) Project - 4527 units in 3 Provinces,2010,CHEXIM,366000000,Zambia,Defense
Purchase of Ghana Armed Forces Equipment,2008,Poly Technologies Inc.,100000000,Ghana,Defense
National Defense College in Harare,2011,CHEXIM,107000000,Zimbabwe,Defense
Rescue boats and civil defense technical equipment,2017,CIDCA,15000000,Sudan,Defense
Oyala (Djibloho) New Capital: 10 Ministerial Buildings,2017,CHEXIM,208000000,Equatorial Guinea,Government
Equipment for Phase II of Kenya's National Youth Service Project,2013,CHEXIM,70000000,Kenya,Government
Mozambique Chief Prosecutor Attorney General's Office,2011,CHEXIM,40000000,Mozambique,Government
"Headquarters of Government, Police Stations, and Warehouses in Cabinda, Phase 1",2016,CDB,40000000,Angola,Government
Tembe Na Tembe Administrative Building in Kinshasa,2015,CHEXIM,34000000,Democratic Republic of Congo,Government
Ghana-China Tech. & Economic Co-op,2007,CIDCA,4000000,Ghana,Government
Kamwala Government Complex Building Interior Construction Project,2009,CHEXIM,25000000,Zambia,Government
SMEs,2015,CDB,100000000,Egypt,Banking
BDEAC: SMEs,2013,CDB,41000000,Regional,Banking
SMEs,2013,CDB,25000000,Ethiopia,Banking
BOAD: Private Sector Lending UEMOA Member States,2014,CDB,125000000,Regional,Unallocated
Unknown,2003,CIDCA,5000000,Morocco,Unallocated
Unknown,2003,CIDCA,5000000,Gabon,Unallocated
Unknown,2002,CIDCA,4000000,Sudan,Unallocated
Unknown,2011,CIDCA,8000000,Zimbabwe,Unallocated
Economic and Financial Agreement,2006,CIDCA,5000000,Cameroon,Unallocated
Unknown,2010,CIDCA,6000000,Rwanda,Unallocated
Economic and Technical Cooperation,2012,CIDCA,34000000,Mali,Unallocated
Unknown,2011,CIDCA,5000000,Ethiopia,Unallocated
Economic and Trade cooperation,2005,CIDCA,2000000,Mauritius,Unallocated
Unknown,2002,CIDCA,12000000,Egypt,Unallocated
economic and technical cooperation,2009,CIDCA,7000000,Burundi,Unallocated
Kiffa Health Center Project,2010,CIDCA,9000000,Mauritania,Unallocated
Unknown,2006,CIDCA,1000000,Democratic Republic of Congo,Unallocated
Agreement on Economic and technical Cooperation,2007,CIDCA,21000000,Zambia,Unallocated
"Unknown (""Joint Cooperation Projects"")",2006,CIDCA,2000000,Cote d'Ivoire,Unallocated
Unknown,2004,CIDCA,2000000,Guinea,Unallocated
"Unknown (""Continuation of Preexisting Projects"")",2013,CIDCA,25000000,Benin,Unallocated
Unknown,2012,CIDCA,10000000,Uganda,Unallocated
Unknown,2011,CIDCA,15000000,Tanzania,Unallocated
Unknown,2013,CIDCA,16000000,Republic of Congo,Unallocated
Economic and Technical Cooperation Agreement,2010,CIDCA,5000000,Togo,Unallocated
Technical Cooperation Agreement,2005,CIDCA,5000000,Equatorial Guinea,Unallocated
Economic and Technical Cooperation,2011,CIDCA,8000000,Kenya,Unallocated
Unallocated,2003,CIDCA,4000000,Namibia,Unallocated
Economic and Technical Cooperation Agreement,2011,CIDCA,8000000,Djibouti,Unallocated
Economic and Technical Cooperation,2012,CIDCA,9000000,Mozambique,Unallocated
Economic and Technical Agreement,2002,CIDCA,6000000,Algeria,Unallocated
Unknown,2005,CIDCA,4000000,Botswana,Unallocated
Unknown,2007,CIDCA,4000000,Central African Republic,Unallocated
Agricultural Equipment for MECANAGRO Purchase,2005,CHEXIM,29000000,Angola,Agriculture
El Mekabrab Agricultural Scheme - Merowe Resettlement,2003,CN Gov,35000000,Sudan,Agriculture
Agricultural Machinery Phase I,2006,CHEXIM,26000000,Zimbabwe,Agriculture
Agricultural Machineries,2009,CHEXIM,20000000,Mozambique,Agriculture
Green Scheme Programme and Aquaculture Project,2007,CIDCA,4000000,Namibia,Agriculture
AFC: General Corporate Purposes,2018,CHEXIM,200000000,Regional,Budget
3-Year Syndicated Term Loan to support foreign currency position - CCB,2002,CCB,27000000,South Africa,Budget
Overcome Financial Hardship,2004,CIDCA,2000000,Central African Republic,Budget
"Quéssua, Malange, Agrarian Institute Rebuild",2005,CHEXIM,15000000,Angola,Education
Technical And Vocational Training Laboratories Project (TVET) - Phase II,2017,CHEXIM,135000000,Kenya,Education
Reinfontein National Youth Training Centre,2009,CHEXIM,18000000,Namibia,Education
"Brazzaville Commercial Center (""Gemini"" Twin Towers)",2014,CHEXIM,328000000,Republic of Congo,Business
Hotel Namibe Reconstruction,2013,CHEXIM,21000000,Angola,Business
Ambulances Purchase - 86 Units,2005,CHEXIM,4000000,Angola,Health
Magnetic Resonance Imaging Equipment Purchase - 20 Units,2015,CDB,27000000,Kenya,Health
Chinsali General Hospital Project,2016,ICBC,136000000,Zambia,Health
Medical Equipment/Medicine,2012,CHEXIM,90000000,Zimbabwe,Health
Victoria Hospital New Operation Theatre - Loan 2,2009,CIDCA,4000000,Mauritius,Health
Economic Assistance Loan - X-Ray Scanning Equipment and CCTV Surveillance System,2003,CIDCA,2000000,Mauritius,Trade
"Benguela Railway, Huambo Railway, 1344km",2004,CHEXIM,362000000,Angola,Transportation
"Nairobi Eastern and Northern Bypass Highway (Nairobi Ring Road), 72km",2008,CHEXIM,108000000,Kenya,Transportation
"Addis-Ababa Light Rail, 17.35km",2011,CHEXIM,475000000,Ethiopia,Transportation
4 Airports Terminal Expansion Projects,2013,CHEXIM,500000000,Nigeria,Transportation
TAZARA,2004,CIDCA,11000000,Zambia,Transportation
MA60 Passenger Aircrafts Purchase - 3 Units,2006,CHEXIM,32000000,Republic of Congo,Transportation
"MA60 Chinese Aircrafts Purchase, Two Units",2013,CHEXIM,71000000,Cameroon,Transportation
Financing capital expenditures and operating activities,2018,ICBC,265000000,South Africa,Transportation
"Maputo Ring Road, 74km",2012,CHEXIM,300000000,Mozambique,Transportation
"Odienné-Gbéléban Road Asphalting, 71km",2017,CHEXIM,70000000,Cote d'Ivoire,Transportation
Building Foundiougne Brigde,2016,CHEXIM,71000000,Senegal,Transportation
Entebbe Airport Expansion Phase I,2015,CHEXIM,194000000,Uganda,Transportation
Accra Inner City Roads 84 km,2018,Sinohydro Ltd.,80000000,Ghana,Transportation
"North Kivu: Beni - Niania Road Refurbishment, 60km",2008,CHEXIM,57000000,Democratic Republic of Congo,Transportation
Goubet Salt Port,2012,CHEXIM,64000000,Djibouti,Transportation
"Farasol Mbega-Port-Gentil Road, 22 km",2016,CHEXIM,103000000,Gabon,Transportation
El Dueim Bridge,2004,CN Gov,9000000,Sudan,Transportation
"New Lome International Airport (EBC portion, total 150mn)",2012,CHEXIM,75000000,Togo,Transportation
"Expressway connecting the Port of Toamasina and the RN2, 10km",2018,CHEXIM,59000000,Madagascar,Transportation
Victoria Falls Airport Renovation,2012,CHEXIM,164000000,Zimbabwe,Transportation
"Kigali Urban Road Upgrade Project, 54km",2016,CHEXIM,71000000,Rwanda,Transportation
"Micomeseng-Bonkoro Highway, 88.6 km",2017,CHEXIM,261000000,Equatorial Guinea,Transportation
"Akassato-Bohicon Road Lot 1, 72.1km",2013,CIDCA,23000000,Benin,Transportation
MR67 Omakange-Ruacana Road 86km,2012,CHEXIM,33000000,Namibia,Transportation
Letlhakeng-Kang Road Section II Phase II 133 km (Dutlwe-Kang/Morwamosu),2006,CHEXIM,17000000,Botswana,Transportation
Namibe and Tombowa Electricity,2002,CHEXIM,25000000,Angola,Power
Kusile Power Station and other Eskom Infrastructure,2018,CDB,1000000000,South Africa,Power
"Adama Wind Farm I, 51MW",2010,CHEXIM,99000000,Ethiopia,Power
Khartoum State Electricity,2003,CHEXIM,12000000,Sudan,Power
"685km, Pensulo to Kasama and Pensulo to Chipata Transmission Lines, 330 kV",2011,ICBC,285000000,Zambia,Power
"Upper West Electrification Project, SHEP-4 Phase 1 Supply & Installation of Equipment",2006,China International Water & Electric Corporation (CWE),81000000,Ghana,Power
"EBC part- Karuma Hydropower Project 600MW; 400kV Karuma-Kawanda & 400kV Karuma-Olwiyo & 80km Karuma-Lira Transmission Lines, 132kV; 6 Substations 400kV",2015,CHEXIM,646000000,Uganda,Power
National Power Grid Upgrade Project Tranche 2,2015,CHEXIM,580000000,Cote d'Ivoire,Power
Kaleta Hydropower Project 240MW,2011,CHEXIM,335000000,Guinea,Power
"Kariba South Bank Hydropower Extension 300MW (CL portion, total 320mn)",2013,CHEXIM,160000000,Zimbabwe,Power
Kenya Power Distribution System Modernization,2009,CHEXIM,93000000,Kenya,Power
"Photovoltaic System, Electrification of 350 Communities - Phase I (166 Communities)",2015,CHEXIM,90000000,Cameroon,Power
Zungeru Hydroelectric Project 700MW,2013,CHEXIM,984000000,Nigeria,Power
"Bata City Power Grid, Phase I",2010,CHEXIM,300000000,Equatorial Guinea,Power
Liouesso Hydropower Project 19.9MW,2012,CHEXIM,110000000,Republic of Congo,Power
220 KV substation in Kinsuka and Associated Distribution Networks,2018,CHEXIM,299000000,Democratic Republic of Congo,Power
"Gouina Hydropower 140MW Project, Senegal Portion",2013,CHEXIM,146000000,Senegal,Power
Sonangol Development,2013,CDB,2000000000,Angola,Mining
Telecom Transformation and Expansion 6 Circles - ZTE,2013,Zhongxing Telecommunication Equipment Corporation (ZTE),300000000,Ethiopia,ICT
Nigerian Communications Satellite (NIGCOMSAT),2006,CHEXIM,200000000,Nigeria,ICT
"350,000 CDMA Lines",2010,CHEXIM,32000000,Cameroon,ICT
ZTE Take-over of Libya Lap Green's loans to Zamtel,2014,Zhongxing Telecommunication Equipment Corporation (ZTE),103000000,Zambia,ICT
"Benguela, K.Norte, Cunene, Huambo, Uíge, and Zaire, New Generation Network, Project 2",2006,CHEXIM,61000000,Angola,ICT
E-government Project Phase I - Data Centre and Wide Area Network (WAN),2009,CHEXIM,30000000,Ghana,ICT
Fiber Optic Project,2014,CHEXIM,74000000,Republic of Congo,ICT
Enterprise Messaging and Collaboration System,2011,CHEXIM,49000000,Kenya,ICT
Digital Migration,2017,CHEXIM,156000000,Mozambique,ICT
TelOne Backbone Optic Fibre Network and the Core and Access Network Modernisation Project,2015,CHEXIM,99000000,Zimbabwe,ICT
E-government Project Phase 2,2012,CHEXIM,48000000,Senegal,ICT
Fiber-Optic Cables Phase I,2008,CHEXIM,36000000,Democratic Republic of Congo,ICT
Societe des Telecoms de Guinea (Sotelgui) Equipment,2014,CHEXIM,50000000,Guinea,ICT
"National ICT Backbone Project (NICTBB), 1st stage of Phase III",2013,CHEXIM,94000000,Tanzania,ICT
Mali Digital 2020 (Mali Numerique 2020),2018,CHEXIM,164000000,Mali,ICT
CDMA Transmission Project,2009,CHEXIM,32000000,Togo,ICT
New Mauritius Broadcasting Corporation (MBC) Headquarters-Tranche 3,2005,CIDCA,5000000,Mauritius,ICT
National Backbone Data Transmission Project II,2009,CHEXIM,59000000,Uganda,ICT
ONAMOB Network Modernization,2017,"Huawei Technologies Co., Ltd.",30000000,Burundi,ICT
National Fiber Optic Backbone Project Phase 2,2019,CHEXIM,30000000,Sierra Leone,ICT
Tunisie Telecom Project - mobile network,2006,CHEXIM,6000000,Tunisia,ICT
"Caxito, Catete and Uíge's Water Supply System",2005,CHEXIM,19000000,Angola,Water
"Potable Water Supply Projects in 9 Towns: Bafoussam, Bamenda, Kribi and Sangmelima - Phase I",2013,CHEXIM,175000000,Cameroon,Water
El-Fashir Water Supply System Project,2005,CHEXIM,33000000,Sudan,Water
Kafulafuta Reservoir Dam Water Supply Project,2016,BoC,332000000,Zambia,Water
"Drinking Water Supply Enhancement in 12 Cities (Daloa, Bouafle, Boundiali, Touba, Odienne, Seguela, Mankono, Sassandra, Grand-Lahou, Divo, Katiola, and Tanda)",2019,CHEXIM,284000000,Cote d'Ivoire,Water
Mekelle Water Supply Project - PEBC Part,2018,CHEXIM,156000000,Ethiopia,Water
Bagatelle Dam,2011,CHEXIM,92000000,Mauritius,Water
"Cazenga / Sambizanga, Social Equipments Requalification, Disbursement 3",2011,CDB,17000000,Angola,Other social
Oyala (Djibloho) New Capital: 500 Units of Social Housing,2017,CHEXIM,175000000,Equatorial Guinea,Other social
264 Social Housing Units in Mpila (Brazzaville),2014,CHEXIM,55000000,Republic of Congo,Other social
Oyem Stadium,2015,ICBC,79000000,Gabon,Other social
Independence Stadium Western Grandstand Rehabilitation,2010,CHEXIM,8000000,Zambia,Other social
Low Cost Social Housing (1500 Units),2011,CHEXIM,71000000,Cameroon,Other social
Francistown BHC Houses - 120 Houses,2001,CHEXIM,2000000,Botswana,Other social
Goma Stadium Construction,2015,CHEXIM,12000000,Democratic Republic of Congo,Other social
East Coast Housing Phase II - 160 Units,2007,CHEXIM,7000000,Seychelles,Other social
"Malange's Integrated Infrastructure, Phase I",2007,CHEXIM,84000000,Angola,Multisector
"Machinery Supply for the Mining, Agriculture, Transport & Infrastructure Industries, Phase III",2015,CHEXIM,96000000,Eritrea,Multisector
Kessem Sugar Factory,2012,CDB,123000000,Ethiopia,Industry
"Military Equipment for the ""Transport (Disaster Management)” Project",2010,CHEXIM,105000000,Zambia,Defense
"UN Peacekeeping Operations in Darfur, Sudan",2008,Poly Technologies Inc.,60000000,Ghana,Defense
Oyala (Djibloho) New Capital: 1200 Units of Presidential Palace Administrative Districts,2017,CHEXIM,128000000,Equatorial Guinea,Government
Mozambique Presidential Palace,2013,CHEXIM,72000000,Mozambique,Government
Ministry of Energy and Water Training Center & Database,2017,CDB,36000000,Angola,Government
Support Country's Development,2007,CIDCA,5000000,Ghana,Government
SMEs,2016,CDB,100000000,Egypt,Banking
TDB: SMEs,2014,CDB,60000000,Regional,Banking
BOAD: Private Sector Activities in the UEMOA Member States,2015,CDB,109000000,Regional,Unallocated
Equipment purchase,2008,CHEXIM,515000000,Morocco,Unallocated
Unknown,2004,CIDCA,6000000,Gabon,Unallocated
Unknown,2004,CHEXIM,4000000,Sudan,Unallocated
Unallocated,2012,CHEXIM,55000000,Zimbabwe,Unallocated
Economic and Technology Cooperation,2007,CIDCA,3000000,Cameroon,Unallocated
Unknown,2011,CIDCA,13000000,Rwanda,Unallocated
"Unknown, Humanitarian Aid and Public Works",2013,CIDCA,8000000,Mali,Unallocated
Unknown,2012,CIDCA,16000000,Ethiopia,Unallocated
Economic and Trade cooperation,2006,CIDCA,5000000,Mauritius,Unallocated
Unknown,2004,CIDCA,30000000,Egypt,Unallocated
Unknown,2011,CIDCA,16000000,Burundi,Unallocated
Unknown,2013,CIDCA,17000000,Mauritania,Unallocated
Unknown,2007,CIDCA,1000000,Democratic Republic of Congo,Unallocated
"Unknown, Strengthen Bilateral Cooperation",2006,CIDCA,1000000,Cote d'Ivoire,Unallocated
Unknown,2005,CIDCA,18000000,Guinea,Unallocated
Unknown,2011,CIDCA,5000000,Togo,Unallocated
Interest-Free Loan,2005,CIDCA,5000000,Equatorial Guinea,Unallocated
Unallocated,2004,CIDCA,5000000,Namibia,Unallocated
Unknown,2008,CIDCA,3000000,Botswana,Unallocated
"Luena, Caxito, Gangelas, Waco-Kungo Irrigation Projects, Phase I",2005,CHEXIM,86000000,Angola,Agriculture
Grain Depot,2005,China Machinery Engineering Corporation (CMEC),22000000,Sudan,Agriculture
Beira Fishing Port Rehabilitation,2014,CHEXIM,120000000,Mozambique,Agriculture
Eiseb Block Small Scale Agriculture Development,2008,CIDCA,5000000,Namibia,Agriculture
AFC: General Corporate Purposes,2018,CHEXIM,100000000,Regional,Budget
5-Year Syndicated Term Loan to support foreign currency position - CCB,2002,CCB,27000000,South Africa,Budget
"Benguela, 2 Institute of Technology Constructions; Luanda, 4 Institute of Technology Constructions",2005,CHEXIM,53000000,Angola,Education
Hotel Huila Reconstruction in Lubango,2013,CHEXIM,21000000,Angola,Business
"Huambo, Health Care Center",2005,CHEXIM,4000000,Angola,Health
Computed Tomography Scanners Supply to 37 Hospitals,2017,CDB,67000000,Kenya,Health
"Kifangondo-Caxito-Uíge-Negage Road, 371 km",2005,CHEXIM,191000000,Angola,Transportation
"Nairobi-Thika Highway, 50km",2009,CHEXIM,156000000,Kenya,Transportation
Purchase of 9 Freight Ships,2011,CHEXIM,235000000,Ethiopia,Transportation
Lagos-Ibadan Railway Modernisation Project II,2017,CHEXIM,1000000000,Nigeria,Transportation
TAZARA protocol 2006 - Unknown,2006,CIDCA,7000000,Zambia,Transportation
"Brazzaville, Maya-Maya Airport",2008,CHEXIM,180000000,Republic of Congo,Transportation
"Kribi-Lolabe Highway, Kribi-Edéa Section - Phase I (100km)",2014,CHEXIM,386000000,Cameroon,Transportation
"Maputo-Catembe Bridge, Katembe Bridge/Ponta D'Ouro Road, 3km",2012,CHEXIM,682000000,Mozambique,Transportation
"Agboville-Rubino-Ceshi Road Asphalting , 51km",2017,CHEXIM,66000000,Cote d'Ivoire,Transportation
"Oil Roads - Lots 1,2 & 3",2020,CHEXIM,456000000,Uganda,Transportation
Kumasi Inner City Roads 100 km,2018,Sinohydro Ltd.,81000000,Ghana,Transportation
Katanga: Lubumbashi - Kasomeno RN5 Grading (137km),2008,CHEXIM,51000000,Democratic Republic of Congo,Transportation
"Addis-Djibouti Railway (Djibouti share), 100km, Ali Sabieh to Nagad",2013,CHEXIM,492000000,Djibouti,Transportation
Aum Kadada - Alfashir Road (Salvation Road/Aum-Fa Road),2009,CHEXIM,86000000,Sudan,Transportation
Phase II Lome Road Asphalting (Economic and Technical Cooperation Agreement and Concessional Loan Framework 3),2013,CHEXIM,94000000,Togo,Transportation
"Rehabilitation of National Road RN5A Ambilobe-Vohemar, 150km",2019,CHEXIM,157000000,Madagascar,Transportation
